report_id,report_text,sif_potential,life_saving_rule,activity,location,barrier_failure,report_type,site
OIL_00589,"During routine work, flammable material not removed was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",0,Hot Work,hot work maintenance,Workshop,flammable material not removed,UC Observation,Duliajan Field
OIL_00590,"During heavy vehicle operation, a minor issue involving driver distraction was observed. No significant exposure to serious injury or fatality potential was identified.",0,None,heavy vehicle operation,Field Road,driver distraction,UC Observation,Duliajan Field
OIL_00591,"A pump maintenance activity was observed with incomplete isolation. Personnel were potentially exposed to a high-consequence event, but no injury occurred.",1,Energy Isolation,pump maintenance,Pump Station,incomplete isolation,Near Miss,West Bengal Field
OIL_00592,"During routine work, inadequate lifting plan was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",0,None,equipment lifting,Processing Plant,inadequate lifting plan,UA Observation,West Bengal Field
OIL_00593,A low-severity observation was recorded during pump maintenance involving incorrect valve identification. No high-consequence hazard was identified.,0,None,pump maintenance,Processing Plant,incorrect valve identification,UC Observation,Bihar Field
OIL_00594,Personnel were observed during material lifting; damaged sling was noted and corrected as a routine safety improvement.,0,None,material lifting,Processing Plant,damaged sling,UC Observation,Rajasthan Field
OIL_00595,"A material handling activity was observed with worker inside exclusion zone. Personnel were potentially exposed to a high-consequence event, but no injury occurred.",1,Line of Fire,material handling,Drilling Site,worker inside exclusion zone,UA Observation,Digboi Field
OIL_00596,Personnel were observed performing material handling despite poor communication. Work was stopped and the unsafe condition was corrected.,1,Line of Fire,material handling,Processing Plant,poor communication,Near Miss,Naharkatiya Field
OIL_00597,"During office activity, a minor issue involving obstruction was observed. No significant exposure to serious injury or fatality potential was identified.",0,None,office activity,Canteen,obstruction,UA Observation,Tripura Field
OIL_00598,Personnel were observed during manhole entry; inadequate rescue arrangement was noted and corrected as a routine safety improvement.,0,None,manhole entry,Production Facility,inadequate rescue arrangement,Near Miss,Gujarat Field
OIL_00599,A routine inspection identified poor rigging during equipment lifting. The issue was corrected without significant safety exposure.,0,None,equipment lifting,Processing Plant,poor rigging,UC Observation,Bihar Field
OIL_00600,A low-severity observation was recorded during ladder work involving improper ladder use. No high-consequence hazard was identified.,0,None,ladder work,Tank Farm,improper ladder use,UA Observation,Rajasthan Field
OIL_00601,Personnel were observed during panel maintenance; damaged cable was noted and corrected as a routine safety improvement.,0,None,panel maintenance,Substation,damaged cable,Near Miss,Gujarat Field
OIL_00602,Personnel were observed performing elevated maintenance despite missing anchor point. Work was stopped and the unsafe condition was corrected.,1,Working at Height,elevated maintenance,Maintenance Area,missing anchor point,UC Observation,Duliajan Field
OIL_00603,"During routine operations, missing utility identification was identified while carrying out earthwork. Immediate intervention was required to prevent a serious incident.",1,Excavation,earthwork,Pipeline Corridor,missing utility identification,Near Miss,West Bengal Field
OIL_00604,A low-severity observation was recorded during ladder work involving missing fall protection. No high-consequence hazard was identified.,0,None,ladder work,Maintenance Area,missing fall protection,UC Observation,Naharkatiya Field
OIL_00605,"During trenching, a minor issue involving water accumulation was observed. No significant exposure to serious injury or fatality potential was identified.",0,None,trenching,Road Construction Area,water accumulation,UC Observation,West Bengal Field
OIL_00606,A low-severity observation was recorded during valve replacement involving unexpected stored energy. No high-consequence hazard was identified.,0,None,valve replacement,Pump Station,unexpected stored energy,Near Miss,Digboi Field
OIL_00607,Personnel were observed during housekeeping; obstruction was noted and corrected as a routine safety improvement.,0,None,housekeeping,Office,obstruction,UC Observation,West Bengal Field
OIL_00608,A near miss occurred during panel maintenance when missing electrical isolation was observed at the worksite. The hazard had potential for serious injury or fatality.,1,Electrical Safety,panel maintenance,Substation,missing electrical isolation,Incident Report,West Bengal Field
OIL_00609,A low-severity observation was recorded during gas cutting involving flammable material not removed. No high-consequence hazard was identified.,0,None,gas cutting,Tank Farm,flammable material not removed,UA Observation,Odisha Field
OIL_00610,"During equipment servicing, a minor issue involving incorrect valve identification was observed. No significant exposure to serious injury or fatality potential was identified.",0,None,equipment servicing,Well Pad,incorrect valve identification,UA Observation,Duliajan Field
OIL_00611,A low-severity observation was recorded during foundation work involving missing utility identification. No high-consequence hazard was identified.,0,None,foundation work,Well Pad,missing utility identification,UC Observation,West Bengal Field
OIL_00612,Personnel were observed during panel maintenance; missing electrical isolation was noted and corrected as a routine safety improvement.,0,None,panel maintenance,Substation,missing electrical isolation,UC Observation,West Bengal Field
OIL_00613,"A equipment lifting activity was observed with poor rigging. Personnel were potentially exposed to a high-consequence event, but no injury occurred.",1,Lifting Operations,equipment lifting,Workshop,poor rigging,Near Miss,West Bengal Field
OIL_00614,A low-severity observation was recorded during roof maintenance involving unguarded platform edge. No high-consequence hazard was identified.,0,None,roof maintenance,Maintenance Area,unguarded platform edge,UC Observation,Digboi Field
OIL_00615,"During transportation, a worker was exposed to a potentially serious hazard because of speeding. The condition was identified before an injury occurred.",1,Driving,transportation,Field Road,speeding,Near Miss,West Bengal Field
OIL_00616,Personnel were observed during scaffold work; unguarded platform edge was noted and corrected as a routine safety improvement.,0,None,scaffold work,Processing Plant,unguarded platform edge,UC Observation,Digboi Field
OIL_00617,Personnel were observed during vehicle movement; unsafe positioning was noted and corrected as a routine safety improvement.,0,None,vehicle movement,Processing Plant,unsafe positioning,UC Observation,Duliajan Field
OIL_00618,"During electrical maintenance, a minor issue involving missing isolation verification was observed. No significant exposure to serious injury or fatality potential was identified.",0,None,electrical maintenance,Maintenance Workshop,missing isolation verification,UA Observation,Digboi Field
OIL_00619,"During office activity, a minor issue involving minor housekeeping issue was observed. No significant exposure to serious injury or fatality potential was identified.",0,None,office activity,Canteen,minor housekeeping issue,UA Observation,Gujarat Field
OIL_00620,A low-severity observation was recorded during valve replacement involving incorrect valve identification. No high-consequence hazard was identified.,0,None,valve replacement,Production Facility,incorrect valve identification,UC Observation,Gujarat Field
OIL_00621,A routine inspection identified minor housekeeping issue during material storage. The issue was corrected without significant safety exposure.,0,None,material storage,Warehouse,minor housekeeping issue,UC Observation,Assam Field
OIL_00622,A near miss occurred during cable installation when damaged cable was observed at the worksite. The hazard had potential for serious injury or fatality.,1,Electrical Safety,cable installation,Pump Station,damaged cable,UC Observation,Assam Field
OIL_00623,"During routine work, driver distraction was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",0,None,site shuttle,Production Field,driver distraction,UA Observation,Rajasthan Field
OIL_00624,A routine inspection identified unexpected stored energy during equipment servicing. The issue was corrected without significant safety exposure.,0,None,equipment servicing,Production Facility,unexpected stored energy,UA Observation,Duliajan Field
OIL_00625,A near miss occurred during load transfer when inadequate lifting plan was observed at the worksite. The hazard had potential for serious injury or fatality.,1,Lifting Operations,load transfer,Construction Area,inadequate lifting plan,Near Miss,Duliajan Field
OIL_00626,"During routine work, unguarded platform edge was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",0,None,elevated maintenance,Tank Farm,unguarded platform edge,UA Observation,West Bengal Field
OIL_00627,A routine inspection identified inadequate barricading during vehicle movement. The issue was corrected without significant safety exposure.,0,Line of Fire,vehicle movement,Processing Plant,inadequate barricading,UA Observation,Duliajan Field
OIL_00628,"During routine work, minor procedural deviation was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",0,None,routine inspection,Office,minor procedural deviation,UC Observation,Duliajan Field
OIL_00629,A low-severity observation was recorded during confined space entry involving missing entry permit. No high-consequence hazard was identified.,0,None,confined space entry,Production Facility,missing entry permit,UA Observation,Rajasthan Field
OIL_00630,"During lifting operation, a worker was exposed to a potentially serious hazard because of poor communication. The condition was identified before an injury occurred.",1,Line of Fire,lifting operation,Well Pad,poor communication,UC Observation,West Bengal Field
OIL_00631,"During routine work, poor labeling was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",0,None,material storage,Warehouse,poor labeling,UA Observation,Gujarat Field
OIL_00632,A near miss occurred during trenching when unsafe access was observed at the worksite. The hazard had potential for serious injury or fatality.,1,Excavation,trenching,Road Construction Area,unsafe access,UC Observation,Gujarat Field
OIL_00633,"A equipment lifting activity was observed with uncontrolled suspended load. Personnel were potentially exposed to a high-consequence event, but no injury occurred.",1,Lifting Operations,equipment lifting,Construction Area,uncontrolled suspended load,Near Miss,Assam Field
OIL_00634,A routine inspection identified incorrect valve identification during valve replacement. The issue was corrected without significant safety exposure.,0,None,valve replacement,Production Facility,incorrect valve identification,UC Observation,Odisha Field
OIL_00635,A low-severity observation was recorded during earthwork involving water accumulation. No high-consequence hazard was identified.,0,None,earthwork,Pipeline Corridor,water accumulation,UA Observation,Tripura Field
OIL_00636,"During routine work, inadequate lifting plan was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",0,Lifting Operations,load transfer,Processing Plant,inadequate lifting plan,UC Observation,Assam Field
OIL_00637,"During routine work, unsupported excavation wall was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",0,Excavation,underground utility work,Pipeline Corridor,unsupported excavation wall,UC Observation,Assam Field
OIL_00638,A low-severity observation was recorded during electrical repair involving missing electrical isolation. No high-consequence hazard was identified.,0,None,electrical repair,Workshop,missing electrical isolation,UA Observation,Rajasthan Field
OIL_00639,"During routine work, inadequate lifting plan was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",0,None,material lifting,Drilling Site,inadequate lifting plan,Near Miss,Odisha Field
OIL_00640,Personnel were observed performing electrical repair despite missing electrical isolation. Work was stopped and the unsafe condition was corrected.,1,Electrical Safety,electrical repair,Production Facility,missing electrical isolation,Near Miss,Tripura Field
OIL_00641,A routine inspection identified incorrect valve identification during pump maintenance. The issue was corrected without significant safety exposure.,0,None,pump maintenance,Maintenance Workshop,incorrect valve identification,Near Miss,Gujarat Field
OIL_00642,A low-severity observation was recorded during confined space entry involving no gas testing. No high-consequence hazard was identified.,0,None,confined space entry,Storage Tank,no gas testing,UC Observation,Tripura Field
OIL_00643,"During routine work, missing electrical isolation was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",0,Electrical Safety,electrical testing,Pump Station,missing electrical isolation,UA Observation,Gujarat Field
OIL_00644,"During tank cleaning, a minor issue involving inadequate ventilation was observed. No significant exposure to serious injury or fatality potential was identified.",0,None,tank cleaning,Process Vessel,inadequate ventilation,UA Observation,Odisha Field
OIL_00645,"During confined space entry, a minor issue involving inadequate ventilation was observed. No significant exposure to serious injury or fatality potential was identified.",0,None,confined space entry,Process Vessel,inadequate ventilation,UC Observation,Odisha Field
OIL_00646,A low-severity observation was recorded during foundation work involving unsupported excavation wall. No high-consequence hazard was identified.,0,None,foundation work,Road Construction Area,unsupported excavation wall,UA Observation,Odisha Field
OIL_00647,"During excavation, a minor issue involving unsafe access was observed. No significant exposure to serious injury or fatality potential was identified.",0,None,excavation,Road Construction Area,unsafe access,UA Observation,West Bengal Field
OIL_00648,"During lifting operation, a minor issue involving poor communication was observed. No significant exposure to serious injury or fatality potential was identified.",0,None,lifting operation,Well Pad,poor communication,UC Observation,Assam Field
OIL_00649,"During office activity, a minor issue involving minor procedural deviation was observed. No significant exposure to serious injury or fatality potential was identified.",0,None,office activity,Office,minor procedural deviation,UA Observation,Duliajan Field
OIL_00650,A routine inspection identified poor labeling during material storage. The issue was corrected without significant safety exposure.,0,None,material storage,Administrative Building,poor labeling,Near Miss,Gujarat Field
OIL_00651,A low-severity observation was recorded during grinding involving poor spark containment. No high-consequence hazard was identified.,0,Hot Work,grinding,Tank Farm,poor spark containment,UC Observation,Bihar Field
OIL_00652,"During routine operations, unsupported excavation wall was identified while carrying out trenching. Immediate intervention was required to prevent a serious incident.",1,Excavation,trenching,Production Facility,unsupported excavation wall,UA Observation,Bihar Field
OIL_00653,Personnel were observed performing material handling despite worker inside exclusion zone. Work was stopped and the unsafe condition was corrected.,1,Line of Fire,material handling,Drilling Site,worker inside exclusion zone,UC Observation,Bihar Field
OIL_00654,"During routine work, inadequate barricading was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",0,None,foundation work,Well Pad,inadequate barricading,UC Observation,West Bengal Field
OIL_00655,A low-severity observation was recorded during transportation involving fatigue. No high-consequence hazard was identified.,0,None,transportation,Remote Site,fatigue,UC Observation,Odisha Field
OIL_00656,"During routine inspection, a minor issue involving minor procedural deviation was observed. No significant exposure to serious injury or fatality potential was identified.",0,None,routine inspection,Warehouse,minor procedural deviation,UA Observation,Naharkatiya Field
OIL_00657,"During material handling, a minor issue involving load path not controlled was observed. No significant exposure to serious injury or fatality potential was identified.",0,None,material handling,Construction Area,load path not controlled,UA Observation,Digboi Field
OIL_00658,"During routine operations, inadequate barricading was identified while carrying out pressure testing. Immediate intervention was required to prevent a serious incident.",1,Line of Fire,pressure testing,Drilling Site,inadequate barricading,Near Miss,Bihar Field
OIL_00659,A low-severity observation was recorded during pipeline maintenance involving unexpected stored energy. No high-consequence hazard was identified.,0,None,pipeline maintenance,Well Pad,unexpected stored energy,UC Observation,Assam Field
OIL_00660,A low-severity observation was recorded during pressure testing involving inadequate barricading. No high-consequence hazard was identified.,0,None,pressure testing,Construction Area,inadequate barricading,UC Observation,Odisha Field
OIL_00661,A near miss occurred during foundation work when inadequate barricading was observed at the worksite. The hazard had potential for serious injury or fatality.,1,Excavation,foundation work,Well Pad,inadequate barricading,UC Observation,Assam Field
OIL_00662,"During routine work, unguarded platform edge was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",0,None,elevated maintenance,Maintenance Area,unguarded platform edge,UA Observation,Gujarat Field
OIL_00663,"During vehicle driving, a minor issue involving seat belt not used was observed. No significant exposure to serious injury or fatality potential was identified.",0,None,vehicle driving,Camp Road,seat belt not used,UA Observation,Bihar Field
OIL_00664,"During routine work, obstruction was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",0,None,material storage,Warehouse,obstruction,UA Observation,Rajasthan Field
OIL_00665,"During vehicle driving, a minor issue involving driver distraction was observed. No significant exposure to serious injury or fatality potential was identified.",0,None,vehicle driving,Plant Road,driver distraction,UC Observation,Odisha Field
OIL_00666,A routine inspection identified missing anchor point during roof maintenance. The issue was corrected without significant safety exposure.,0,Working at Height,roof maintenance,Construction Site,missing anchor point,UA Observation,Digboi Field
OIL_00667,"During routine work, unsupported excavation wall was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",0,None,foundation work,Well Pad,unsupported excavation wall,UA Observation,Odisha Field
OIL_00668,"During cable installation, a minor issue involving damaged cable was observed. No significant exposure to serious injury or fatality potential was identified.",0,Electrical Safety,cable installation,Processing Plant,damaged cable,UC Observation,Duliajan Field
OIL_00669,"During electrical maintenance, a worker was exposed to a potentially serious hazard because of incorrect valve identification. The condition was identified before an injury occurred.",1,Energy Isolation,electrical maintenance,Maintenance Workshop,incorrect valve identification,Near Miss,Assam Field
OIL_00670,"During housekeeping, a minor issue involving minor procedural deviation was observed. No significant exposure to serious injury or fatality potential was identified.",0,None,housekeeping,Canteen,minor procedural deviation,UA Observation,Rajasthan Field
OIL_00671,"A roof maintenance activity was observed with unguarded platform edge. Personnel were potentially exposed to a high-consequence event, but no injury occurred.",1,Working at Height,roof maintenance,Warehouse,unguarded platform edge,Near Miss,Bihar Field
OIL_00672,A routine inspection identified inadequate barricading during excavation. The issue was corrected without significant safety exposure.,0,None,excavation,Pipeline Corridor,inadequate barricading,UA Observation,West Bengal Field
OIL_00673,"During routine work, insufficient fire watch was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",0,None,gas cutting,Tank Farm,insufficient fire watch,UA Observation,Rajasthan Field
OIL_00674,Personnel were observed during confined space entry; missing entry permit was noted and corrected as a routine safety improvement.,0,None,confined space entry,Water Treatment Area,missing entry permit,UC Observation,Assam Field
OIL_00675,"During pipeline maintenance, a minor issue involving incorrect valve identification was observed. No significant exposure to serious injury or fatality potential was identified.",0,None,pipeline maintenance,Processing Plant,incorrect valve identification,UA Observation,West Bengal Field
OIL_00676,Personnel were observed during foundation work; inadequate barricading was noted and corrected as a routine safety improvement.,0,None,foundation work,Production Facility,inadequate barricading,UC Observation,Bihar Field
OIL_00677,A near miss occurred during foundation work when missing utility identification was observed at the worksite. The hazard had potential for serious injury or fatality.,1,Excavation,foundation work,Construction Site,missing utility identification,Near Miss,Rajasthan Field
OIL_00678,A routine inspection identified missing utility identification during underground utility work. The issue was corrected without significant safety exposure.,0,None,underground utility work,Pipeline Corridor,missing utility identification,Near Miss,Gujarat Field
OIL_00679,"During site shuttle, a minor issue involving poor vehicle condition was observed. No significant exposure to serious injury or fatality potential was identified.",0,None,site shuttle,Plant Road,poor vehicle condition,UA Observation,Odisha Field
OIL_00680,"During routine work, missing entry permit was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",0,None,vessel inspection,Water Treatment Area,missing entry permit,UA Observation,Naharkatiya Field
OIL_00681,A low-severity observation was recorded during grinding involving insufficient fire watch. No high-consequence hazard was identified.,0,None,grinding,Production Facility,insufficient fire watch,UC Observation,Digboi Field
OIL_00682,A routine inspection identified unsupported excavation wall during underground utility work. The issue was corrected without significant safety exposure.,0,None,underground utility work,Production Facility,unsupported excavation wall,UC Observation,Tripura Field
OIL_00683,"During field transportation, a minor issue involving seat belt not used was observed. No significant exposure to serious injury or fatality potential was identified.",0,None,field transportation,Production Field,seat belt not used,UC Observation,Odisha Field
OIL_00684,A near miss occurred during earthwork when unsafe access was observed at the worksite. The hazard had potential for serious injury or fatality.,1,Excavation,earthwork,Construction Site,unsafe access,Near Miss,Tripura Field
OIL_00685,A near miss occurred during hot work maintenance when flammable material not removed was observed at the worksite. The hazard had potential for serious injury or fatality.,1,Hot Work,hot work maintenance,Tank Farm,flammable material not removed,UA Observation,Assam Field
OIL_00686,"A manhole entry activity was observed with no gas testing. Personnel were potentially exposed to a high-consequence event, but no injury occurred.",1,Confined Space,manhole entry,Process Vessel,no gas testing,UA Observation,Rajasthan Field
OIL_00687,Personnel were observed during general maintenance; incorrect storage was noted and corrected as a routine safety improvement.,0,None,general maintenance,Warehouse,incorrect storage,UA Observation,Rajasthan Field
OIL_00688,"During material lifting, a minor issue involving damaged sling was observed. No significant exposure to serious injury or fatality potential was identified.",0,None,material lifting,Processing Plant,damaged sling,UC Observation,Duliajan Field
OIL_00689,"During valve replacement, a minor issue involving missing isolation verification was observed. No significant exposure to serious injury or fatality potential was identified.",0,Energy Isolation,valve replacement,Processing Plant,missing isolation verification,UC Observation,Gujarat Field
OIL_00690,Personnel were observed performing scaffold work despite inadequate scaffold inspection. Work was stopped and the unsafe condition was corrected.,1,Working at Height,scaffold work,Tank Farm,inadequate scaffold inspection,Near Miss,Gujarat Field
OIL_00691,A routine inspection identified uncontrolled suspended load during equipment lifting. The issue was corrected without significant safety exposure.,0,None,equipment lifting,Processing Plant,uncontrolled suspended load,UC Observation,Digboi Field
OIL_00692,A routine inspection identified seat belt not used during heavy vehicle operation. The issue was corrected without significant safety exposure.,0,None,heavy vehicle operation,Camp Road,seat belt not used,UA Observation,Assam Field
OIL_00693,"A underground utility work activity was observed with missing utility identification. Personnel were potentially exposed to a high-consequence event, but no injury occurred.",1,Excavation,underground utility work,Construction Site,missing utility identification,UA Observation,Tripura Field
OIL_00694,A low-severity observation was recorded during general maintenance involving poor labeling. No high-consequence hazard was identified.,0,None,general maintenance,Warehouse,poor labeling,UC Observation,Odisha Field
OIL_00695,"During vehicle movement, a minor issue involving load path not controlled was observed. No significant exposure to serious injury or fatality potential was identified.",0,Line of Fire,vehicle movement,Processing Plant,load path not controlled,UC Observation,Digboi Field
OIL_00696,Personnel were observed during platform inspection; missing anchor point was noted and corrected as a routine safety improvement.,0,None,platform inspection,Maintenance Area,missing anchor point,UA Observation,Odisha Field
OIL_00697,A routine inspection identified flammable material not removed during hot work maintenance. The issue was corrected without significant safety exposure.,0,None,hot work maintenance,Processing Plant,flammable material not removed,UC Observation,Rajasthan Field
OIL_00698,A routine inspection identified insufficient fire watch during hot work maintenance. The issue was corrected without significant safety exposure.,0,None,hot work maintenance,Processing Plant,insufficient fire watch,UC Observation,Naharkatiya Field
OIL_00699,"During electrical testing, a minor issue involving damaged cable was observed. No significant exposure to serious injury or fatality potential was identified.",0,None,electrical testing,Production Facility,damaged cable,Near Miss,Assam Field
OIL_00700,A low-severity observation was recorded during switchgear inspection involving incorrect PPE. No high-consequence hazard was identified.,0,Electrical Safety,switchgear inspection,Workshop,incorrect PPE,UA Observation,Rajasthan Field
OIL_00701,Personnel were observed during equipment servicing; unexpected stored energy was noted and corrected as a routine safety improvement.,0,None,equipment servicing,Maintenance Workshop,unexpected stored energy,UA Observation,Duliajan Field
OIL_00702,A low-severity observation was recorded during elevated maintenance involving missing fall protection. No high-consequence hazard was identified.,0,None,elevated maintenance,Construction Site,missing fall protection,UA Observation,Rajasthan Field
OIL_00703,"During office activity, a minor issue involving minor procedural deviation was observed. No significant exposure to serious injury or fatality potential was identified.",0,None,office activity,Workshop,minor procedural deviation,UC Observation,West Bengal Field
OIL_00704,A routine inspection identified missing utility identification during earthwork. The issue was corrected without significant safety exposure.,0,Excavation,earthwork,Production Facility,missing utility identification,UC Observation,Assam Field
OIL_00705,A low-severity observation was recorded during gas cutting involving insufficient fire watch. No high-consequence hazard was identified.,0,None,gas cutting,Workshop,insufficient fire watch,UC Observation,Tripura Field
OIL_00706,Personnel were observed during trenching; missing utility identification was noted and corrected as a routine safety improvement.,0,None,trenching,Road Construction Area,missing utility identification,UA Observation,Naharkatiya Field
OIL_00707,A near miss occurred during underground utility work when water accumulation was observed at the worksite. The hazard had potential for serious injury or fatality.,1,Excavation,underground utility work,Production Facility,water accumulation,UC Observation,Bihar Field
OIL_00708,"During routine work, poor rigging was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",0,None,equipment lifting,Construction Area,poor rigging,Near Miss,Odisha Field
OIL_00709,"During routine work, speeding was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",0,Driving,field transportation,Field Road,speeding,UC Observation,Tripura Field
OIL_00710,"During ladder work, a minor issue involving unguarded platform edge was observed. No significant exposure to serious injury or fatality potential was identified.",0,None,ladder work,Construction Site,unguarded platform edge,UA Observation,Odisha Field
OIL_00711,Personnel were observed during material handling; poor communication was noted and corrected as a routine safety improvement.,0,Line of Fire,material handling,Processing Plant,poor communication,UC Observation,Gujarat Field
OIL_00712,"During pipeline maintenance, a minor issue involving incomplete isolation was observed. No significant exposure to serious injury or fatality potential was identified.",0,None,pipeline maintenance,Pump Station,incomplete isolation,UC Observation,Gujarat Field
OIL_00713,"During ladder work, a worker was exposed to a potentially serious hazard because of inadequate scaffold inspection. The condition was identified before an injury occurred.",1,Working at Height,ladder work,Processing Plant,inadequate scaffold inspection,UA Observation,Assam Field
OIL_00714,"During material handling, a minor issue involving worker inside exclusion zone was observed. No significant exposure to serious injury or fatality potential was identified.",0,None,material handling,Drilling Site,worker inside exclusion zone,Near Miss,West Bengal Field
OIL_00715,Personnel were observed during confined space entry; inadequate ventilation was noted and corrected as a routine safety improvement.,0,Confined Space,confined space entry,Sewer Area,inadequate ventilation,UC Observation,Odisha Field
OIL_00716,A routine inspection identified unguarded platform edge during platform inspection. The issue was corrected without significant safety exposure.,0,None,platform inspection,Construction Site,unguarded platform edge,UC Observation,Assam Field
OIL_00717,A routine inspection identified driver distraction during vehicle driving. The issue was corrected without significant safety exposure.,0,None,vehicle driving,Camp Road,driver distraction,UA Observation,Digboi Field
OIL_00718,"During routine work, no gas testing was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",0,None,pit cleaning,Process Vessel,no gas testing,UC Observation,Naharkatiya Field
OIL_00719,"During scaffold work, a minor issue involving missing fall protection was observed. No significant exposure to serious injury or fatality potential was identified.",0,None,scaffold work,Processing Plant,missing fall protection,UC Observation,Odisha Field
OIL_00720,A near miss occurred during trenching when unsupported excavation wall was observed at the worksite. The hazard had potential for serious injury or fatality.,1,Excavation,trenching,Construction Site,unsupported excavation wall,Near Miss,Gujarat Field
OIL_00721,A low-severity observation was recorded during housekeeping involving poor labeling. No high-consequence hazard was identified.,0,None,housekeeping,Canteen,poor labeling,UA Observation,Naharkatiya Field
OIL_00722,"During routine work, incorrect valve identification was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",0,Energy Isolation,electrical maintenance,Processing Plant,incorrect valve identification,UC Observation,Gujarat Field
OIL_00723,"During routine work, damaged sling was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",0,None,crane lifting,Workshop,damaged sling,Near Miss,Odisha Field
OIL_00724,"During roof maintenance, a minor issue involving inadequate scaffold inspection was observed. No significant exposure to serious injury or fatality potential was identified.",0,None,roof maintenance,Maintenance Area,inadequate scaffold inspection,Near Miss,Rajasthan Field
OIL_00725,A low-severity observation was recorded during grinding involving flammable material not removed. No high-consequence hazard was identified.,0,None,grinding,Processing Plant,flammable material not removed,UC Observation,Digboi Field
OIL_00726,Personnel were observed performing pipe handling despite load path not controlled. Work was stopped and the unsafe condition was corrected.,1,Line of Fire,pipe handling,Drilling Site,load path not controlled,UA Observation,Odisha Field
OIL_00727,"During excavation, a minor issue involving unsupported excavation wall was observed. No significant exposure to serious injury or fatality potential was identified.",0,None,excavation,Production Facility,unsupported excavation wall,UA Observation,Tripura Field
OIL_00728,Personnel were observed performing switchgear inspection despite incorrect PPE. Work was stopped and the unsafe condition was corrected.,1,Electrical Safety,switchgear inspection,Processing Plant,incorrect PPE,Near Miss,Naharkatiya Field
OIL_00729,Personnel were observed performing pit cleaning despite no gas testing. Work was stopped and the unsafe condition was corrected.,1,Confined Space,pit cleaning,Production Facility,no gas testing,Near Miss,Duliajan Field
OIL_00730,Personnel were observed performing valve replacement despite incomplete isolation. Work was stopped and the unsafe condition was corrected.,1,Energy Isolation,valve replacement,Pump Station,incomplete isolation,Near Miss,West Bengal Field
OIL_00731,Personnel were observed performing welding despite flammable material not removed. Work was stopped and the unsafe condition was corrected.,1,Hot Work,welding,Fabrication Yard,flammable material not removed,Near Miss,Digboi Field
OIL_00732,"During routine work, damaged sling was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",0,Lifting Operations,material lifting,Processing Plant,damaged sling,UA Observation,Digboi Field
OIL_00733,"During routine inspection, a minor issue involving minor procedural deviation was observed. No significant exposure to serious injury or fatality potential was identified.",0,None,routine inspection,Office,minor procedural deviation,UA Observation,Duliajan Field
OIL_00734,"During routine work, inadequate grounding was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",0,None,panel maintenance,Processing Plant,inadequate grounding,UA Observation,West Bengal Field
OIL_00735,"During confined space entry, a minor issue involving no standby person was observed. No significant exposure to serious injury or fatality potential was identified.",0,Confined Space,confined space entry,Storage Tank,no standby person,UA Observation,West Bengal Field
OIL_00736,A routine inspection identified overloaded crane during equipment lifting. The issue was corrected without significant safety exposure.,0,None,equipment lifting,Construction Area,overloaded crane,UC Observation,Tripura Field
OIL_00737,A routine inspection identified no gas testing during manhole entry. The issue was corrected without significant safety exposure.,0,None,manhole entry,Water Treatment Area,no gas testing,UC Observation,Naharkatiya Field
OIL_00738,"During routine work, improper ladder use was observed in the area. The condition was addressed as part of normal housekeeping and safety monitoring.",0,None,ladder work,Processing Plant,improper ladder use,UA Observation,Bihar Field
OIL_00739,A routine inspection identified poor labeling during office activity. The issue was corrected without significant safety exposure.,0,None,office activity,Administrative Building,poor labeling,UC Observation,Digboi Field
OIL_00740,A low-severity observation was recorded during lifting operation involving poor communication. No high-consequence hazard was identified.,0,None,lifting operation,Construction Area,poor communication,UA Observation,Assam Field
OIL_00741,"During routine operations, seat belt not used was identified while carrying out site shuttle. Immediate intervention was required to prevent a serious incident.",1,Driving,site shuttle,Plant Road,seat belt not used,Near Miss,Odisha Field
OIL_00742,"During equipment servicing, a worker was exposed to a potentially serious hazard because of failure to lock out and tag out. The condition was identified before an injury occurred.",1,Energy Isolation,equipment servicing,Production Facility,failure to lock out and tag out,UA Observation,Naharkatiya Field
